申請者－名称,事業所名称,事業所郵便番号,事業所所在地,区名,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,対象-身体障害者,対象-知的障害者,対象-障害児,対象-精神障害者
社会福祉法人堺あけぼの福祉会,絆あけぼの,590-0133,大阪府堺市南区庭代台二丁9番1号,南区,072-289-8770,072-289-8772,生活介護,2716400599,平成23年7月1日,あり,なし,なし,なし
株式会社 永愛,故郷デイサービス,590-0134,大阪府堺市南区御池台四丁7番地2,南区,072-248-5165,072-248-5165,生活介護,2716401050,令和2年12月1日,あり,あり,なし,あり
社会福祉法人堺あけぼの福祉会,堺あけぼの園,590-0134,大阪府堺市南区御池台五丁2番6号,南区,072-292-9002,072-290-1161,生活介護,2716400011,平成18年10月1日,あり,なし,なし,なし
社会福祉法人 みきた福祉会,みきた作業所,590-0135,大阪府堺市南区別所1480番地1,南区,072-294-7755,072-294-8522,生活介護,2716400540,平成31年4月1日,なし,あり,なし,あり
社会福祉法人ライフサポート協会,みんなのマーケットるぴなす（はぴな）,590-0136,大阪府堺市南区美木多上1369-14,南区,072-284-7039,072-284-7079,生活介護,2716400821,平成30年4月1日,あり,あり,なし,あり
株式会社ミナソラ,ミナソラ,590-0141,大阪府堺市南区桃山台四丁25-16,南区,072-249-9292,072-249-9292,生活介護,2716401308,令和6年9月1日,あり,あり,なし,あり
社会福祉法人コスモス,せんぼく障害者作業所,590-0142,大阪府堺市南区檜尾1382番地6,南区,072-296-4520,072-297-6439,生活介護,2716400235,平成18年11月1日,なし,あり,なし,なし
社会福祉法人 堺あすなろ会,ピュアあすなろ,590-0156,大阪府堺市南区稲葉三丁1581番地,南区,072-260-5570,072-260-5580,生活介護,2716400391,平成20年5月1日,なし,あり,なし,なし
有限会社 キャプテンフィンガーズ,ケアセンター仲村,590-0101,大阪府堺市南区宮山台四丁7番9号,南区,072-284-3700,072-295-5505,自立訓練（機能訓練）,2716401100,令和3年5月1日,あり,あり,なし,あり
有限会社 キャプテンフィンガーズ,ケアセンター仲村,590-0101,大阪府堺市南区宮山台四丁7番9号,南区,072-284-3700,072-295-5505,自立訓練（生活訓練）,2716401100,令和3年5月1日,あり,あり,なし,あり
社会福祉法人こだま福祉会,ヤオヨロズヤ,590-0114,大阪府堺市南区槇塚台三丁1番6号,南区,072-296-3232,072-296-3232,就労移行支援（一般型）,2716401217,令和5年7月1日,あり,あり,なし,あり
一般社団法人 ヒューマンブレイン,バックオフィス堺泉北,590-0115,大阪府堺市南区茶山台一丁6番1号 ステーションプラザ泉ヶ丘304号,南区,072-284-7502,072-284-7502,就労継続支援（Ａ型）,2716401167,令和4年10月1日,あり,あり,なし,あり
株式会社 イクコ・カンパニー,ワークショップひとふし,590-0132,大阪府堺市南区原山台五丁9-1 丸長運送配送センター2階,南区,072-247-4111,050-3730-6370,就労継続支援（Ａ型）,2716401084,令和3年5月1日,なし,あり,なし,あり
一般社団法人未来の扉,未来予想図,590-0133,大阪府堺市南区庭代台二丁7番1号 2階,南区,072-360-4260,072-360-4270,就労継続支援（Ａ型）,2716002312,平成30年8月1日,あり,あり,なし,あり
特定非営利活動法人 Ｄｅａｒ ｆｒｉｅｎｄｓ,でぃあふれんず,590-0101,大阪府堺市南区宮山台三丁1番20号,南区,072-295-7227,072-295-7228,就労継続支援（Ｂ型）,2716400466,平成21年7月1日,あり,あり,なし,あり
特定非営利活動法人 惑星会,就労継続支援Ｂ型作業所わくわく,590-0101,大阪府堺市南区宮山台三丁1番15 堺宮山台センタービル2階Ｃ号室,南区,072-292-8440,072-292-8441,就労継続支援（Ｂ型）,2716400813,平成27年7月1日,あり,あり,なし,あり
社会福祉法人はなきりん会,Ｌｅｔ’ｓ Ｗｏｒｋ,590-0105,大阪府堺市南区竹城台四丁1番3号,南区,072-349-6612,072-349-6613,就労継続支援（Ｂ型）,2716401183,令和5年1月1日,あり,あり,なし,あり
社会福祉法人コスモス,アクティブスペースかいと,590-0106,大阪府堺市南区豊田1180,南区,072-289-6018,072-289-6019,就労継続支援（Ｂ型）,2716400904,平成29年4月1日,なし,あり,なし,あり
株式会社ＲＩＮ,就労継続支援Ｂ型事業所 はぴわく,590-0111,大阪府堺市南区三原台一丁2番3号 ルルポ泉ヶ丘105,南区,072-284-7781,072-289-5311,就労継続支援（Ｂ型）,2716401233,令和5年9月1日,あり,あり,なし,あり
社会福祉法人 麦の会,麦の会第３作業所,590-0113,大阪府堺市南区晴美台一丁30番2-102号 104号,南区,072-205-9903,072-205-9904,就労継続支援（Ｂ型）,2716400482,平成21年12月1日,あり,あり,なし,あり
特定非営利活動法人アンビション２２,パン工房アンビション,590-0113,大阪府堺市南区晴美台一丁30番5号,南区,072-293-3900,072-293-6500,就労継続支援（Ｂ型）,2716400557,平成23年3月1日,あり,あり,なし,あり
社会福祉法人こだま福祉会,ヤオヨロズヤ,590-0114,大阪府堺市南区槇塚台三丁1番6号,南区,072-296-3232,072-296-3232,就労継続支援（Ｂ型）,2716401217,令和5年7月1日,あり,あり,なし,あり
株式会社 ウエストサービス,ライズ泉ヶ丘,590-0117,大阪府堺市南区高倉台二丁39番3号,南区,072-284-5777,072-284-5770,就労継続支援（Ｂ型）,2716400896,平成28年8月1日,あり,あり,なし,あり
社会福祉法人 野のちから,風のこもんず,590-0117,大阪府堺市南区高倉台一丁2-1 Ｄ棟1,南区,072-295-0533,072-296-8778,就労継続支援（Ｂ型）,2716400524,平成22年12月1日,あり,あり,なし,あり
社会福祉法人ライフサポート協会,みんなのマーケットるぴなす,590-0117,大阪府堺市南区高倉台三丁2-2,南区,072-295-6173,072-295-6174,就労継続支援（Ｂ型）,2716400821,平成27年8月1日,あり,あり,なし,あり
社会福祉法人 コスモス,第２ふれあいの里かたくら,590-0121,大阪府堺市南区片蔵176-1番地,南区,072-291-5679,072-290-5300,就労継続支援（Ｂ型）,2716400888,平成28年4月1日,あり,あり,なし,あり
一般社団法人未来の扉,みらいのカタチ,590-0133,大阪府堺市南区庭代台二丁７番1,南区,072-360-4260,072-360-4270,就労継続支援（Ｂ型）,2716002312,令和6年1月1日,あり,あり,なし,あり
トライト株式会社,ステップライト,590-0134,大阪府堺市南区御池台二丁11番24号,南区,072-296-4163,072-296-4164,就労継続支援（Ｂ型）,2716401191,令和5年1月1日,あり,あり,なし,あり
社会福祉法人堺あすなろ会,アトリエｈａｎａ(Ｌｉｎｋみいけ),590-0134,大阪府堺市南区御池台三丁1番地5,南区,072-299-3550,072-299-3555,就労継続支援（Ｂ型）,2716400409,平成23年5月1日,なし,あり,なし,なし
株式会社ミナソラ,ミナソラ,590-0141,大阪府堺市南区桃山台四丁25-16,南区,072-249-9292,072-249-9292,就労継続支援（Ｂ型）,2716401308,令和6年9月1日,あり,あり,なし,あり
株式会社 ケアサポートりんぐ,はなきりん,590-0142,大阪府堺市南区檜尾16番地,南区,072-350-3123,072-350-3125,就労継続支援（Ｂ型）,2716401027,令和元年11月1日,あり,あり,なし,あり
社会福祉法人コスモス,せんぼく障害者作業所,590-0142,大阪府堺市南区檜尾1382番地6,南区,072-296-4520,072-297-6439,就労継続支援（Ｂ型）,2716400235,平成18年11月1日,なし,あり,なし,なし
株式会社ワンズロード,ワンズワークス,590-0157,大阪府堺市南区高尾一丁308番6,南区,072-247-4508,072-247-4509,就労継続支援（Ｂ型）,2716400920,平成29年10月1日,あり,あり,なし,あり
特定非営利活動法人 オレンジ福祉会,障がい者作業所ぽらりす,591-8001,大阪府堺市北区常磐町三丁19番地2,北区,072-255-3770,072-255-3771,生活介護,2716501081,平成26年9月1日,あり,あり,なし,なし
株式会社エタニティライフ,かふぇ ら・くーら弐番館,591-8008,大阪府堺市北区東浅香山町三丁15-15 1階101号室,北区,072-242-4226,072-242-4227,生活介護,2716502063,令和5年12月1日,あり,あり,なし,あり
社会福祉法人 こだま福祉会,障がい者作業所こだま,591-8008,大阪府堺市北区東浅香山町二丁251番地1,北区,072-252-3801,072-247-7510,生活介護,2716500422,平成21年1月1日,あり,あり,なし,なし
社会福祉法人 コスモス,ほくぶ障害者作業所,591-8011,大阪府堺市北区南花田町536番地1,北区,072-254-5778,072-259-4459,生活介護,2716500307,平成19年1月1日,あり,あり,なし,あり
社会福祉法人コスモス,第２ほくぶ障害者作業所,591-8011,大阪府堺市北区南花田町532番地3,北区,072-254-3292,072-254-3292,生活介護,2716500737,平成24年4月1日,あり,あり,なし,あり
特定非営利活動法人 ことのは,ことのは,591-8021,大阪府堺市北区新金岡町五丁7-541 パークハイツ新金岡101号,北区,072-259-5780,072-259-5781,生活介護,2716501719,令和3年4月1日,あり,あり,なし,あり
社会福祉法人関西福祉会,陵東館長曽根,591-8025,大阪府堺市北区長曽根町713番地の2,北区,072-259-0010,072-259-2941,生活介護,2716500745,平成24年4月1日,なし,あり,なし,なし
特定非営利活動法人 あいらぶ,あいらぶ作業所,591-8032,大阪府堺市北区百舌鳥梅町一丁19番6号,北区,072-240-0222,072-259-4800,生活介護,2716500315,平成19年4月1日,あり,あり,なし,あり
特定非営利活動法人あのね工房,あのね工房,591-8032,大阪府堺市北区百舌鳥梅町三丁15番9号,北区,072-275-4900,072-275-4901,生活介護,2716500687,平成23年11月1日,あり,あり,なし,あり
株式会社香川,千晴デイサービス,591-8034,大阪府堺市北区百舌鳥陵南町三丁400番地5,北区,072-267-4116,072-267-4116,生活介護,2716502089,令和6年2月1日,あり,あり,なし,あり
株式会社はな来楽部,地域活動 はな来楽部,591-8037,大阪府堺市北区百舌鳥赤畑町一丁28番地6 グランディール三国ヶ丘101号室,北区,072-251-8753,072-251-8751,生活介護,2716501966,令和5年4月1日,あり,あり,なし,あり
株式会社はな来楽部,地域生活 はな来楽部,591-8037,大阪府堺市北区百舌鳥赤畑町二丁79番地1,北区,072-258-8700,072-258-8710,生活介護,2716502105,令和6年4月1日,あり,あり,なし,あり
特定非営利活動法人 福祉創造スペース貘の家,福祉創造スペース貘の家,591-8037,大阪府堺市北区百舌鳥赤畑町二丁48番 カーサ三国ヶ丘103号,北区,072-256-7221,072-256-7221,生活介護,2716500497,平成22年4月1日,あり,あり,なし,あり
特定非営利活動法人 明,百舌鳥あったか,591-8037,大阪府堺市北区百舌鳥赤畑町二丁94番1,北区,072-267-4521,072-267-4523,生活介護,2716501560,平成31年3月1日,あり,あり,なし,あり
特定非営利活動法人プリエール,福祉ネコハウスプリエール,591-8037,大阪府堺市北区百舌鳥赤畑町五丁432番地2,北区,072-254-1162,072-220-0850,生活介護,2716501420,平成30年10月1日,あり,あり,なし,あり
株式会社 スマイルケアサポート,チルチル,591-8043,大阪府堺市北区北長尾町六丁3-27,北区,072-260-9666,072-260-9667,生活介護,2716501909,令和4年11月1日,あり,あり,なし,あり
ＮＰＯ法人 バーナビーカレッジ,バーナビーカレッジ,591-8004,大阪府堺市北区蔵前町二丁15-32,北区,072-257-7703,072-257-7704,自立訓練（生活訓練）,2716501339,平成28年10月1日,なし,あり,なし,あり
ＮＰＯ法人 バーナビーカレッジ,バーナビーカレッジ,591-8004,大阪府堺市北区蔵前町二丁15-32,北区,072-257-7703,072-257-7704,就労移行支援（一般型）,2716501339,令和3年4月1日,なし,あり,なし,あり
ＲＥＴＲＩＥＶＥ ＨＯＵＳＥ株式会社,リトハウス中百舌鳥,591-8023,大阪府堺市北区中百舌鳥町五丁660番地1 スタツィオーネ中百舌鳥201・202号室,北区,072-257-7077,072-257-7078,就労移行支援（一般型）,2716501610,令和元年8月1日,あり,あり,なし,あり
一般社団法人 ＢＰ,ＢＰ事業所,591-8023,大阪府堺市北区中百舌鳥町一丁95-22,北区,072-240-0681,072-240-0682,就労移行支援（一般型）,2716501602,令和元年7月1日,あり,あり,なし,あり
株式会社ジニア,ジニア,591-8031,大阪府堺市北区百舌鳥梅北町一丁8番2号 新栄プロパティ三国ヶ丘2階、302号室,北区,072-247-8281,072-247-8281,就労移行支援（一般型）,2716502014,令和5年8月1日,あり,あり,なし,あり
合同会社はなさく,ＳＰＯＴＬＡＢ堺,591-8022,大阪府堺市北区金岡町523番地1,北区,072-275-9003,072-275-9004,就労継続支援（Ａ型）,2716502022,令和6年8月1日,なし,あり,なし,あり
ＫＩＴＥＮ株式会社,ＫＩＴＥＮ,591-8002,大阪府堺市北区北花田町三丁17番地18,北区,072-242-8008,,就労継続支援（Ｂ型）,2716502162,令和6年10月1日,なし,あり,なし,あり
株式会社 オールアッセン,ユーアンド,591-8003,大阪府堺市北区船堂町二丁4番6号,北区,072-268-2230,072-275-6345,就労継続支援（Ｂ型）,2716501917,令和4年11月1日,あり,あり,なし,あり
株式会社オールアッセン,ｙｏｕ ａｎｄ,591-8003,大阪府堺市北区船堂町二丁5番12号,北区,072-275-7997,072-275-7599,就労継続支援（Ｂ型）,2716502071,令和5年12月1日,あり,あり,なし,あり
社会福祉法人 こだま福祉会,障がい者作業所こだま,591-8008,大阪府堺市北区東浅香山町二丁251番地1,北区,072-252-3801,072-247-7510,就労継続支援（Ｂ型）,2716500422,平成21年1月1日,あり,あり,なし,なし
社会福祉法人コスモス,第２ほくぶ障害者作業所,591-8011,大阪府堺市北区南花田町532番地3,北区,072-254-3292,072-254-3292,就労継続支援（Ｂ型）,2716500737,平成20年4月1日,あり,あり,なし,あり
一般社団法人しぇいくはんず,じょいん,591-8021,大阪府堺市北区新金岡町五丁5番110号,北区,072-246-9243,072-246-9408,就労継続支援（Ｂ型）,2716501495,平成30年4月1日,なし,あり,なし,あり
一般社団法人日本福祉会,こころね,591-8021,大阪府堺市北区新金岡町五丁9番116号,北区,072-245-9874,072-245-9875,就労継続支援（Ｂ型）,2716501412,平成29年8月1日,あり,あり,なし,あり
株式会社 五大,アトラス新金岡,591-8021,大阪府堺市北区新金岡町五丁7番711号,北区,072-255-3138,072-255-3137,就労継続支援（Ｂ型）,2716501743,令和3年6月1日,あり,あり,なし,あり
株式会社ＨＩＴ’Ｓ－Ｖ,にじげん新金岡,591-8021,大阪府堺市北区新金岡町五丁1-1 フレスポしんかな 3F・3-1②区画,北区,072-275-8499,072-275-8599,就労継続支援（Ｂ型）,2716502113,令和6年4月1日,なし,なし,なし,あり
合同会社はなさく,ＳＰＯＴＬＡＢ堺,591-8022,大阪府堺市北区金岡町523番地1,北区,072-275-9003,072-275-9004,就労継続支援（Ｂ型）,2716502022,令和5年9月1日,なし,あり,なし,あり
一般社団法人 ＢＰ,ＢＰ事業所,591-8023,大阪府堺市北区中百舌鳥町一丁95-22,北区,072-240-0681,072-240-0682,就労継続支援（Ｂ型）,2716501602,令和元年7月1日,あり,あり,なし,あり
特定非営利活動法人陽光会,就労支援事業所りーふ,591-8023,大阪府堺市北区中百舌鳥町六丁998番地の3 1階、2階,北区,072-254-7800,072-254-7801,就労継続支援（Ｂ型）,2716500562,平成30年5月1日,あり,あり,なし,あり
株式会社 すまいる・ポッケ,りあん・クールなかもず,591-8024,大阪府堺市北区黒土町3002-24,北区,072-252-1635,072-252-1635,就労継続支援（Ｂ型）,2716501214,平成28年2月1日,なし,あり,なし,あり
株式会社 ハッピー,ハッピー作業所,591-8025,大阪府堺市北区長曽根町1679番地2-B,北区,072-256-3000,072-256-3030,就労継続支援（Ｂ型）,2716501735,令和3年6月1日,あり,あり,なし,あり
株式会社グランディーユ,レゾナンス,591-8025,大阪府堺市北区長曽根町183-5 堺市産業振興センター内,北区,072-257-7420,072-257-7420,就労継続支援（Ｂ型）,2716501925,令和5年1月1日,あり,あり,なし,あり
合同会社 トランスーノア,ビフレスト,591-8025,大阪府堺市北区長曽根町1660-1,北区,072-253-9307,072-253-9308,就労継続支援（Ｂ型）,2716100462,平成19年11月1日,あり,あり,なし,あり
合同会社 ラッシュプレミア,優作業所,591-8025,大阪府堺市北区長曽根町3046-14,北区,072-269-4400,072-269-4421,就労継続支援（Ｂ型）,2716501842,令和4年9月1日,なし,あり,なし,あり
特定非営利活動法人アース,アース作業所,591-8025,大阪府堺市北区長曽根町1679-2,北区,072-256-5000,072-257-0007,就労継続支援（Ｂ型）,2716500844,平成24年12月1日,あり,あり,なし,あり
株式会社ジニア,ジニア,591-8031,大阪府堺市北区百舌鳥梅北町一丁8番2号 新栄プロパティ三国ヶ丘2階、302号室,北区,072-247-8281,072-247-8281,就労継続支援（Ｂ型）,2716502014,令和5年8月1日,あり,あり,なし,あり
特定非営利活動法人フィロソフィひまわり,Willひまわり,591-8031,大阪府堺市北区百舌鳥梅北町五丁253番地15,北区,072-250-7722,072-250-7722,就労継続支援（Ｂ型）,2716500786,平成24年5月1日,あり,あり,なし,あり
社会福祉法人 たんぽぽひろば,ワラビーズ,591-8032,大阪府堺市北区百舌鳥梅町三丁20番地10 澤ビル,北区,072-252-4802,072-256-4880,就労継続支援（Ｂ型）,2716500554,平成22年11月1日,なし,なし,なし,あり
特定非営利活動法人 あいらぶ,ありす作業所,591-8032,大阪府堺市北区百舌鳥梅町一丁19番21号,北区,072-257-1711,072-259-4800,就労継続支援（Ｂ型）,2716500869,平成25年3月1日,あり,あり,なし,あり
特定非営利活動法人 ここいろ,キャンバス,591-8032,大阪府堺市北区百舌鳥梅町三丁1番地3 牧原ビル2-2号室,北区,072-240-1616,072-240-1626,就労継続支援（Ｂ型）,2716501024,平成26年4月1日,なし,あり,なし,あり
特定非営利活動法人あのね工房,あのね工房,591-8032,大阪府堺市北区百舌鳥梅町三丁15番9号,北区,072-275-4900,072-275-4901,就労継続支援（Ｂ型）,2716500687,平成23年11月1日,あり,あり,なし,あり
特定非営利活動法人ソーシャルハウスさかい,じょぶるん,591-8032,大阪府堺市北区百舌鳥梅町三丁27-2,北区,072-323-6630,072-323-6622,就労継続支援（Ｂ型）,2716501388,平成29年4月1日,なし,なし,なし,あり
株式会社 国際グループ,ｔｈｅ ＳＯＵＰ,591-8033,大阪府堺市北区百舌鳥西之町三丁668 2階,北区,072-279-0820,072-279-0835,就労継続支援（Ｂ型）,2716501826,令和4年8月1日,あり,あり,なし,あり
特定非営利活動法人 フィロソフィひまわり,ＷｉＬＬひまわりⅡ,591-8033,大阪府堺市北区百舌鳥西之町二丁552番地1,北区,072-250-7722,072-250-7722,就労継続支援（Ｂ型）,2716501792,令和4年4月1日,あり,あり,なし,あり
クローバー合同会社,キャットハウス,591-8034,大阪府堺市北区百舌鳥陵南町三丁187番地 ロリアン陵南2-1号,北区,072-277-5645,072-277-5646,就労継続支援（Ｂ型）,2716502121,令和6年5月1日,あり,あり,なし,あり
特定非営利活動法人プリエール,福祉ネコハウス プリエール,591-8037,大阪府堺市北区百舌鳥赤畑町五丁432番地2,北区,072-254-1162,072-220-0850,就労継続支援（Ｂ型）,2716501420,平成29年7月1日,なし,あり,なし,あり
ＡｌｌｙＴｈｅＬｕｃｋ 合同会社,Ｓｙｎｅｒｇｙ,591-8041,大阪府堺市北区東雲東町三丁6-20 リンショウマンション,北区,072-247-9994,06-7739-5316,就労継続支援（Ｂ型）,2716501685,令和3年1月1日,あり,あり,なし,あり
特定非営利活動法人 栄友社,えーゆーホーム,587-0011,大阪府堺市美原区丹上406-1,美原区,072-294-6521,072-294-6531,生活介護,2716600149,平成26年11月1日,なし,あり,なし,あり
ＮＰＯ法人パワーウエスト,ほんまちライフひこぼし,587-0012,大阪府堺市美原区多治井105番地3,美原区,072-288-6900,072-288-6900,生活介護,2716600206,平成30年12月1日,あり,あり,なし,あり
社会福祉法人 嘉誠会,ワークセンターヴァンサンクつつじ,587-0021,大阪府堺市美原区小平尾953,美原区,072-369-7224,072-369-7225,生活介護,2716600248,令和3年4月1日,なし,あり,なし,あり
合同会社 はなさく,やまぼうし作業所,587-0022,大阪府堺市美原区平尾20番地1,美原区,072-349-7747,072-363-8874,生活介護,2716600230,令和2年8月1日,あり,あり,なし,あり
合同会社はなさく,はなみずき作業所,587-0022,大阪府堺市美原区平尾20-5,美原区,072-363-8880,072-363-8874,生活介護,2716600396,令和6年8月1日,あり,あり,なし,あり
特定非営利活動法人 つなげよう福祉会,スマイルランドひのき,587-0051,大阪府堺市美原区北余部15番1,美原区,072-362-2750,072-362-2758,生活介護,2716600297,令和4年5月1日,あり,あり,なし,あり
シンスリー 株式会社,シンスリー北野田（シンスリー太子事業所）,583-0995,大阪府南河内郡太子町太子122-1,南河内郡太子町,0721-69-8083,0721-69-5583,就労継続支援（Ｂ型）,2716200577,令和3年2月1日,あり,あり,なし,あり
株式会社 華舞,Ｈｏｐｅ,587-0002,大阪府堺市美原区黒山425番地7,美原区,072-369-4427,072-369-4437,就労継続支援（Ｂ型）,2716600321,令和4年12月1日,あり,あり,なし,あり
社会福祉法人 嘉誠会,ワークセンターヴァンサンクつつじ,587-0021,大阪府堺市美原区小平尾953,美原区,072-369-7224,072-369-7225,就労継続支援（Ｂ型）,2716600248,令和3年4月1日,なし,あり,なし,あり
特定非営利活動法人 えん,サニーハウス,587-0051,大阪府堺市美原区北余部76番地の3,美原区,072-362-8620,072-362-8620,就労継続支援（Ｂ型）,2716600123,平成25年4月1日,なし,あり,なし,あり
株式会社 大望,ａｎｎ・ＡＱＵＡ ＦＡＲＭ,587-0061,大阪府堺市美原区今井76番地1,美原区,072-349-3731,072-349-3732,就労継続支援（Ｂ型）,2716600115,平成25年3月1日,あり,あり,なし,あり
有限会社ラッセル,ふくろうの家,587-0063,大阪府堺市美原区大饗100-1,美原区,072-231-9223,072-231-9994,就労継続支援（Ｂ型）,2716600354,令和6年2月1日,あり,あり,なし,あり
