事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名
2715803397,就労継続支援Ａ型スタンドアップ長吉出戸,06-6776-2990,06-7632-3213,547-0011,大阪市平野区長吉出戸四丁目１番６号　 ,一般社団法人障がい者自立スタンドアップ,○,○,○,○,15,,2018/12/01,
2715801771,Ｆａｍｉｌｙ　Ｃｉｒｃｌｅ,06-6777-2598,06-6777-2599,547-0011,大阪市平野区長吉出戸八丁目５番３号　 ,新日本新薬株式会社,○,○,○,○,20,,2012/08/01,
2715802852,ヒラキンサポート,06-6777-4162,06-6777-4163,547-0011,大阪市平野区長吉出戸七丁目１１番１９号　Ｂ号,株式会社ヒラキンサポート,○,○,○,,20,,2017/01/01,
2715804395,就労継続支援事業所ＮＥＸＴ,06-4302-6033,06-4302-8252,547-0011,大阪市平野区長吉出戸四丁目３番４２号　２階,株式会社ネクストライフステージ,○,○,○,○,10,○,2022/04/01,
2715805111,かがやくあおぞら,070-4230-1065,06-7494-3426,547-0011,大阪市平野区長吉出戸四丁目５番５０号　２Ｆ　 ,株式会社かがやくあおぞら,○,○,○,○,20,,2024/02/01,
2715802860,特定非営利活動法人竹光自立支援センター,06-6799-3282,06-6799-2013,547-0014,大阪市平野区長吉川辺三丁目１４番１７号　 ,特定非営利活動法人竹光自立支援センター,,○,,,30,,2017/01/01,
2715805160,和み家ｐｌｕｓ,06-6700-7538,06-6700-7530,547-0026,大阪市平野区喜連西五丁目２番７－１０１号　 ,アプリコットマネジメント株式会社,,○,○,,20,,2024/04/01,
2715802597,まなびの郷　平野西,06-4392-7597,06-4392-7598,547-0033,大阪市平野区平野西三丁目６番２８号　ＰＡＬＭＩＺＩＯ平野西Ⅲ１１０号室,株式会社まなびの郷,○,○,○,○,15,,2015/08/01,
2715805269,就労継続支援Ａ型事業所エスポワール,06-6776-2424,06-6776-2427,547-0035,大阪市平野区西脇三丁目２番１８号　レスト平野１Ｆ,株式会社エスポワール,○,○,○,○,20,,2024/07/01,
2715802886,就労継続支援Ａ型スタンドアップ市町ファクトリー,06-6777-1389, ,547-0042,大阪市平野区平野市町一丁目３番２６号　 ,一般社団法人障がい者自立スタンドアップ,○,○,○,○,15,,2017/03/01,
2715802985,ＰＥＡＣＥウェル,06-6777-7617,06-6777-7617,547-0045,大阪市平野区平野上町一丁目１０番１１号　和光服装ビル１階,ピースウェル南大阪合同会社,○,○,○,○,10,○,2017/04/01,
2715803223,Ｓｍｉｌｅ　Ｆａｃｔｏｒｙ　平野,06-6105-4507,06-6105-4507,547-0045,大阪市平野区平野上町一丁目５番１０号　 ,株式会社らく笑,○,○,○,○,20,,2018/04/01,
2715804981,スタンドアップ平野宮町,06-6777-1386,06-7632-3213,547-0046,大阪市平野区平野宮町一丁目５番５号　メガロコープ平野５号棟１８３号,一般社団法人障がい者自立スタンドアップ,○,○,○,○,10,,2023/09/01,
2715803728,あいかんぱにー,06-6777-1758,06-6777-1759,547-0046,大阪市平野区平野宮町一丁目４番２９号　 ,株式会社あいかんぱにー,○,○,○,○,20,,2020/02/01,
2713306005,Ａ　ｗｏｒｋｓ　柚,06-4398-9090,06-4398-9091,557-0014,大阪市西成区天下茶屋三丁目２２番２号　 ,株式会社Ｔｅｍｏｍｏ,○,○,○,○,13,,2023/09/01,
2713303234,小さな木,06-6630-8744,06-6630-8745,557-0016,大阪市西成区花園北二丁目８番５号　 ,合同会社　大きな木,○,○,○,○,16,,2017/01/01,
2713306302,はばたくあおぞら,080-5555-5999,06-6652-5510,557-0044,大阪市西成区玉出中二丁目４番２１号　ひまわりマンション１Ｆ,株式会社はばたくあおぞら,○,○,○,○,20,,2024/03/01,
2713304752,やさしいあおぞら,070-8406-3160,06-6652-5510,557-0044,大阪市西成区玉出中二丁目４番２１号　ひまわりマンション２Ｆ,特定非営利活動法人やさしいあおぞら,○,○,○,○,20,,2021/04/01,
2713303200,街かどあぐりにしなり,06-6567-1007,06-6567-1008,557-0061,大阪市西成区北津守四丁目９番５号　 ,特定非営利活動法人　街かど福祉,○,○,○,○,14,○,2016/10/01,
